date,week,block_num,block_name,sets,reps,squat_weight,benchpress_weight,deadlift_weight
2025-09-19,1,1,hypertrophy,3,12,30,25,40
2025-09-26,2,1,hypertrophy,3,12,35,27.5,50
2025-10-03,3,1,hypertrophy,3,10,40,30,55
2025-10-10,4,1,hypertrophy,3,10,45,32.5,60
,5,1,hypertrophy,3,8,,,
,6,1,hypertrophy,3,8,,,
,7,2,hypertrophy/strength,4,8,,,
,8,2,hypertrophy/strength,4,8,,,
,9,2,hypertrophy/strength,4,6,,,
,10,2,hypertrophy/strength,4,6,,,
,11,2,hypertrophy/strength,4,5,,,
,12,2,hypertrophy/strength,4,5,,,
,13,3,strength,5,5,,,
,14,3,strength,5,5,,,
,15,3,strength,5,4,,,
,16,3,strength,5,4,,,
,17,3,strength,5,3,,,
,18,3,strength,5,3,,,
,19,4,strength/power,6,4,,,
,20,4,strength/power,6,4,,,
,21,4,strength/power,6,3,,,
,22,4,strength/power,6,3,,,
,23,4,strength/power,6,2,,,
,24,4,strength/power,6,2,,,
,25,5,power,6,3,,,
,26,5,power,6,3,,,
,27,5,power,6,2,,,
,28,5,power,6,2,,,
,29,5,power,6,1,,,
,30,5,power,6,1,,,
,31,6,hyperhrophy/recovery,3,12,,,
,32,6,hyperhrophy/recovery,3,12,,,
,33,6,hyperhrophy/recovery,3,10,,,
,34,6,hyperhrophy/recovery,3,10,,,
,35,6,hyperhrophy/recovery,3,8,,,
,36,6,hyperhrophy/recovery,3,8,,,
,37,7,strength,5,5,,,
,38,7,strength,5,5,,,
,39,7,strength,5,4,,,
,40,7,strength,5,4,,,
,41,7,strength,5,3,,,
,42,7,strength,5,3,,,
,43,8,power,6,3,,,
,44,8,power,6,3,,,
,45,8,power,6,2,,,
,46,8,power,6,2,,,
,47,8,power,6,1,,,
,48,8,power,6,1,,,
,49,9,deload/recovery,3,10,,,
,50,9,deload/recovery,3,10,,,
,51,9,deload/recovery,3,8,,,
,52,9,deload/recovery,3,8,,,
,,,,,,,,
,,,,,,,,
